id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
700000,台湾,2022/12/28 0:00,19141,,0,27,,19114,8624680,0,27544,14995,0,0,,,
810000,香港,2022/12/28 0:00,2058,,517,50,,1491,491154,0,106818,11334,0,0,,,
420000,湖北,2022/12/28 0:00,0,,16,0,,-16,68861,0,64133,4512,0,0,,,
310000,上海,2022/12/28 0:00,49,,49,0,,0,65423,0,64224,595,0,0,,,
440000,广东,2022/12/28 0:00,1372,,659,0,,713,63739,0,53026,8,0,0,,,
220000,吉林,2022/12/28 0:00,0,,2,0,,-2,40485,0,40433,5,0,0,,,
110000,北京,2022/12/28 0:00,471,,464,0,,7,28860,0,17514,20,0,0,28266,11,16929
510000,四川,2022/12/28 0:00,104,,27,0,,77,12023,0,10354,5,0,0,,,
460000,海南,2022/12/28 0:00,2,,14,0,,-12,10436,0,9138,6,0,0,,,
500000,重庆,2022/12/28 0:00,209,,45,0,,164,10181,0,7480,7,0,0,,,
410000,河南,2022/12/28 0:00,42,,325,0,,-283,9089,0,6880,23,0,0,,,
150000,内蒙古,2022/12/28 0:00,5,,13,0,,-8,8394,0,8333,1,0,0,,,
350000,福建,2022/12/28 0:00,0,,78,0,,-78,7651,0,6812,1,0,0,,,
330000,浙江,2022/12/28 0:00,37,,20,0,,17,6235,0,4851,1,0,0,,,
610000,陕西,2022/12/28 0:00,31,,8,0,,23,5589,0,5111,3,0,0,,,
530000,云南,2022/12/28 0:00,157,,29,0,,128,5561,0,4104,2,0,0,,,
230000,黑龙江,2022/12/28 0:00,16,,11,0,,5,5493,0,5253,13,0,0,,,
140000,山西,2022/12/28 0:00,46,,295,0,,-249,5142,0,4339,0,0,0,,,
370000,山东,2022/12/28 0:00,25,,104,0,,-79,4797,0,4518,8,0,0,,,
320000,江苏,2022/12/28 0:00,13,,5,0,,8,3808,0,3795,0,0,0,,,
210000,辽宁,2022/12/28 0:00,2,,30,0,,-28,3086,0,2808,2,0,0,,,
430000,湖南,2022/12/28 0:00,115,,4,0,,111,2983,0,2062,4,0,0,,,
130000,河北,2022/12/28 0:00,14,,18,0,,-4,2943,0,4594,7,0,0,,,
120000,天津,2022/12/28 0:00,77,,7,0,,70,2913,0,2489,3,0,0,,,
650000,新疆,2022/12/28 0:00,0,,0,0,,0,2632,0,2606,3,0,0,,,
450000,广西,2022/12/28 0:00,10,,1,0,,9,2457,0,2404,2,0,0,,,
360000,江西,2022/12/28 0:00,40,,0,0,,40,1971,0,1533,1,0,0,,,
520000,贵州,2022/12/28 0:00,0,,79,0,,-79,1794,0,1786,2,0,0,,,
340000,安徽,2022/12/28 0:00,0,,1,0,,-1,1700,0,1665,6,0,0,,,
820000,澳门,2022/12/28 0:00,0,,0,0,,0,1569,0,1115,13,0,0,,,
620000,甘肃,2022/12/28 0:00,0,,0,0,,0,1563,0,1549,2,0,0,,,
540000,西藏,2022/12/28 0:00,0,,0,0,,0,1515,0,1515,0,0,0,,,
630000,青海,2022/12/28 0:00,6,,15,0,,-9,542,0,492,0,0,0,,,
640000,宁夏,2022/12/28 0:00,0,,0,0,,0,239,0,225,0,0,0,,,
